ITEM,CATEGORY,STATUS,AGE GROUP,GENDER,RACE,GIVEN CONDITION,ACTUAL PREVALENCE PERCENT,SYNTHEA OCCURRENCES,SYNTHEA POPULATION,SYNTHEA PREVALENCE RATE,SYNTHEA PREVALENCE PERCENT,DIFFERENCE,REFERENCE
Prediabetes,unique conditions,living,adult,*,*,*,38,4,14,0.29,28.57,-9.43,http://jamanetwork.com/journals/jama/fullarticle/2434682
,,,,,,,,,,,,,
Diabetes,unique conditions,living,adult,*,*,*,8.8,0,14,0.0,0.0,-8.8,https://gis.cdc.gov/grasp/diabetes/DiabetesAtlas.html
Diabetes,unique conditions,living,adult,*,white,*,6.5,0,12,0.0,0.0,-6.5,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
Diabetes,unique conditions,living,adult,*,hispanic,*,14.2,0,0,0,0,-14.2,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
Diabetes,unique conditions,living,adult,*,black,*,12.8,0,2,0.0,0.0,-12.8,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
Diabetes,unique conditions,living,adult,*,asian,*,16,0,0,0,0,-16.0,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
Diabetes,unique conditions,living,adult,*,native,*,14.3,0,0,0,0,-14.3,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
,,,,,,,,,,,,,
Hypertension,unique conditions,living,adult,*,*,*,29.6,2,14,0.14,14.29,-15.31,http://www.cdc.gov/MMWr/preview/mmwrhtml/su6203a24.htm#Tab
Hypertension,unique conditions,living,adult,*,*,Diabetes,59.4,0,0,0,0,-59.4,http://www.cdc.gov/MMWr/preview/mmwrhtml/su6203a24.htm#Tab
Diabetic renal disease (disorder),unique conditions,living,adult,*,*,Diabetes,34.5,0,0,0,0,-34.5,http://link.springer.com/chapter/10.1007%2F978-1-4939-0793-9_2
Microalbuminuria due to type 2 diabetes mellitus (disorder),unique conditions,living,adult,*,*,Diabetes,28.8,0,0,0,0,-28.8,https://www.ncbi.nlm.nih.gov/pubmed/11877563
Proteinuria due to type 2 diabetes mellitus (disorder),unique conditions,living,adult,*,*,Diabetes,,0,0,0,0,,
End stage renal disease (disorder),unique conditions,living,adult,*,*,Diabetes,0.78,0,0,0,0,-0.78,https://www.cdc.gov/diabetes/pdfs/data/2014-report-estimates-of-diabetes-and-its-burden-in-the-united-states.pdf
Diabetic retinopathy associated with type II diabetes mellitus (disorder),unique conditions,living,adult,*,*,Diabetes,40.3,0,0,0,0,-40.3,https://www.ncbi.nlm.nih.gov/pubmed/15078674
Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),unique conditions,living,adult,*,*,Diabetes,,0,0,0,0,,
Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),unique conditions,living,adult,*,*,Diabetes,7,0,0,0,0,-7.0,http://care.diabetesjournals.org/content/35/3/556
Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),unique conditions,living,adult,*,*,Diabetes,11,0,0,0,0,-11.0,http://www.idf.org/sites/default/files/IDF%2520Toolkit_Backgrounder_FINAL.pdf
Blindness due to type 2 diabetes mellitus (disorder),unique conditions,living,adult,*,*,Diabetes,1,0,0,0,0,-1.0,http://www.idf.org/sites/default/files/IDF%2520Toolkit_Backgrounder_FINAL.pdf
Neuropathy due to type 2 diabetes mellitus (disorder),unique conditions,living,adult,*,*,Diabetes,50,0,0,0,0,-50.0,http://care.diabetesjournals.org/content/27/5/1153#ref-1
History of lower limb amputation (situation),unique conditions,living,adult,*,*,Diabetes,,0,0,0,0,,
History of amputation of foot (situation),unique conditions,living,adult,*,*,Diabetes,,0,0,0,0,,
History of upper limb amputation (situation),unique conditions,living,adult,*,*,Diabetes,,0,0,0,0,,
History of disarticulation at wrist (situation),unique conditions,living,adult,*,*,Diabetes,,0,0,0,0,,
,,,,,,,,,,,,,
24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,unique medications,living,adult,*,*,Diabetes,,0,0,0,0,,
3 ML liraglutide 6 MG/ML Pen Injector,unique medications,living,adult,*,*,Diabetes,,0,0,0,0,,
canagliflozin 100 MG Oral Tablet,unique medications,living,adult,*,*,Diabetes,,0,0,0,0,,
"insulin human, isophane 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension [Humulin]",unique medications,living,adult,*,*,Diabetes,,0,0,0,0,,https://www.cdc.gov/diabetes/statistics/meduse/fig2.htm
Insulin Lispro 100 UNT/ML Injectable Solution [Humalog],unique medications,living,adult,*,*,Diabetes,,0,0,0,0,,https://www.cdc.gov/diabetes/statistics/meduse/fig2.htm
